SystemCode,TransNumber,TransDate,TransType,UCode,snum,SRNNumber,SRNType,PONumber,I,ItemCode,Item_Locked,ItemStatus,AddValue,Filled_Quantity,Billed_Quantity,RCP_Quantity,ISS_Quantity,PCS_Quantity,Meter_Quantity,RCP_Price,ISS_Price,RCP_Amount,ISS_Amount,Pack_Contains,KGContains,Packing,Rate_ED_Inv,Value_ED_INV,Rate_STD_Cost,Value_STD_Cost,Rate_NSales,Value_NSales,Sale_Price,ST_Rate,ST_Value,ST_Percent,ST_Amount,ST_Percent_A,ED_Rate,ED_Value,ED_Percent,ED_Amount,Freight_Amount,OT_Amount,Avg_Rate,Avg_Amount,ReceiptCode,IssueCode,WIPCode,COGSCode,SalesTaxCode,ExciseCode,SaleCode,ProcessCode,FreightCode,OtherCode,UPBillCode,U_STDRate,U_STDR_Process,SchemeRate,SchemeAmount,SchemeGrossTotal,SchemeTransNumber,Contain,ForExRate,ForExAmount,Calc_rate,Qty_used,OQty_Used,ScheduleDate,ScheduleQty,BackLog,Current_DP,Hold,USD,OJobQty,Status,Deal_No_DT,DealSize_DT,Log_Qty,PrintedType,Deal_Price,zrno
03,22070014,7/5/2022,0,Rabab Saleem,0,,L,,,95000103821,0,0,0,0,0,0,5,10,0,0,0,0,0,5,1,Pcs,0.1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,,0,,,,0,Printed,0,32215
03,22070015,7/5/2022,0,Rabab Saleem,0,,L,,,95000103822,0,0,0,0,0,0,10,50,0,0,0,0,0,10,1,Pcs,0.1,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,,0,,,,0,Printed,0,32216
03,22070016,7/5/2022,0,Rabab Saleem,0,,L,,,95000101024,0,0,0,1037.8,0,0,570,0,0,0,0,0,0,570,1,Kgs,810,461700,0,0,0,461700,0,0,0,0,0,0,0,461700,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,518.9,0,12/30/3799,570,0,0,,,0,,,,0,Printed,0,32237
03,22070017,7/5/2022,0,Rabab Saleem,0,,L,,,95000702195,0,0,0,131.52,0,0,70,0,0,0,0,0,20,70,1,Kgs,15,1050,0,0,0,1050,0,0,0,0,0,0,0,1050,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,20,,0,0,0,0,65.76,0,12/30/3799,70,0,0,,,0,,,,0,Printed,0,32296
03,22070018,7/5/2022,0,Rabab Saleem,0,,L,,,95000103243,0,0,0,6027.61,0,0,5000,0,0,0,0,0,0,5000,1,Kgs,700,3500000,0,0,0,3500000,0,0,0,0,0,0,0,3500000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,4981.42,0,12/30/3799,5000,0,0,,,0,,,,0,Printed,0,32248
03,22070019,7/5/2022,0,Rabab Saleem,0,,L,,,95000103764,0,0,0,433.9,0,0,200,0,0,0,0,0,0,200,1,Kgs,985,197000,0,0,0,197000,0,0,0,0,0,0,0,197000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,216.95,0,12/30/3799,200,0,0,,,0,,,,0,Printed,0,32232
03,22070020,7/5/2022,0,Rabab Saleem,0,,L,,,95000102575,0,0,0,2063.84,0,0,1000,0,0,0,0,0,30,1000,1,Kgs,655,655000,0,0,0,655000,0,0,0,0,0,0,0,655000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,30,,0,0,0,0,1031.92,0,12/30/3799,1000,0,0,,,0,,,,0,Printed,0,36147
03,22070021,7/5/2022,0,Zakir,0,,L,,,95000503729,0,0,0,0,0,0,1,5,0,0,0,0,0,1,1,Pcs,19800,99000,0,0,0,99000,0,0,0,0,0,0,4.5,103455,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,0,0,7/5/2022,1,0,0,,,0,,,,0,Printed,0,32643
03,22070021,7/5/2022,0,Zakir,1,,L,,,95000503730,0,0,0,0,0,0,1,5,0,0,0,0,0,1,1,Pcs,18018,90090,0,0,0,90090,0,0,0,0,0,0,4.5,94144.05,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,0,0,7/5/2022,1,0,0,,,0,,,,0,Printed,0,32644
03,22070022,7/5/2022,0,Zakir,0,,L,,,95000503732,0,0,0,0,0,0,1,8,0,0,0,0,0,1,1,Pcs,39715.2,317721.6,0,0,0,317721.6,0,0,0,0,0,0,4.5,332019.072,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,0,0,7/5/2022,1,0,0,,,0,,,,0,Printed,0,32242
